#SN      Host Galaxy      Date         R.A.    Decl.    Offset   Mag.   Disc. Ref.            SN Position         Posn. Ref.       Type  SN      Discoverer(s)

2005fu  Anon.            2005 09 14  02 50.5 +00 48             21.0   CBET 247        02 50 32.09 +00 48 28.1   CBET  247        Ia    2005fu  Sloan Digital Sky Survey II
2005ft  Anon.            2005 09 14  02 42.1 -00 32             21.2   CBET 247        02 42 04.98 -00 32 27.0   CBET  247        Ia    2005ft  Sloan Digital Sky Survey II
2005fs  Anon.            2005 09 14  02 04.9 -00 20             22.1   CBET 247        02 04 52.97 -00 19 35.3   CBET  247        Ia    2005fs  Sloan Digital Sky Survey II
2005fr  Anon.            2005 09 14  01 08.4 -00 06             21.6   CBET 247        01 08 22.02 -00 05 46.7   CBET  247        Ia    2005fr  Sloan Digital Sky Survey II
2005fq  Anon.            2005 09 14  00 53.7 -00 34             21.5   CBET 247        00 53 44.05 -00 33 36.8   CBET  247        Ia?   2005fq  Sloan Digital Sky Survey II
2005fp  Anon.            2005 09 14  00 27.2 +01 07             22.1   CBET 247        00 27 13.69 +01 07 14.2   CBET  247        Ia    2005fp  Sloan Digital Sky Survey II
2005fo  Anon.            2005 09 13  21 55.8 +00 36             21.7   CBET 247        21 55 46.40 +00 35 36.7   CBET  247        Ia    2005fo  Sloan Digital Sky Survey II
2005fn  Anon.            2005 09 13  20 48.9 +00 11             18.9   CBET 247        20 48 53.05 +00 11 28.0   CBET  247        Ia    2005fn  Sloan Digital Sky Survey II
2005fm  Anon.            2005 09 13  20 48.2 -01 10             20.5   CBET 247        20 48 10.37 -01 10 17.1   CBET  247        Ia    2005fm  Sloan Digital Sky Survey II
2005fl  Anon.            2005 09 13  20 47.4 -01 15             21.6   CBET 247        20 47 21.99 -01 15 11.9   CBET  247        Ia    2005fl  Sloan Digital Sky Survey II
2005fk  Anon.            2005 09 12  21 15.3 -00 23             21.8   CBET 247        21 15 19.83 -00 22 58.6   CBET  247        Ib/c  2005fk  Sloan Digital Sky Survey II
2005fj  Anon.            2005 09 11  21 11.3 -00 27             20.2   CBET 247        21 11 20.85 -00 26 43.3   CBET  247        Ia    2005fj  Sloan Digital Sky Survey II
2005fi  Anon.            2005 09 11  00 08.0 +00 38             22.4   CBET 247        00 07 58.69 +00 38 17.4   CBET  247        Ia    2005fi  Sloan Digital Sky Survey II
2005fh  Anon.            2005 09 10  23 17.5 +00 26             19.8   CBET 247        23 17 29.71 +00 25 45.8   CBET  247        Ia?   2005fh  Sloan Digital Sky Survey II
2005fg  Anon.            2005 09 10  22 36.1 -00 23             21.8   CBET 247        22 36 04.20 -00 22 30.8   CBET  247        Ia    2005fg  Sloan Digital Sky Survey II
2005ff  Anon.            2005 09 10  22 30.7 -00 47             21.0   CBET 247        22 30 41.41 -00 46 35.8   CBET  247        Ia    2005ff  Sloan Digital Sky Survey II
2005fe  Anon.            2005 09 10  22 19.5 +00 30             21.1   CBET 247        22 19 27.32 +00 29 39.9   CBET  247        Ia    2005fe  Sloan Digital Sky Survey II
2005fd  Anon.            2005 09 10  21 35.2 +00 10             22.3   CBET 247        21 35 11.76 +00 09 47.2   CBET  247        Ia    2005fd  Sloan Digital Sky Survey II
2005fc  Anon.            2005 09 10  21 21.7 +00 54             21.7   CBET 247        21 21 39.25 +00 53 40.7   CBET  247        Ia    2005fc  Sloan Digital Sky Survey II
2005fb  Anon.            2005 09 10  03 01.3 -00 39             21.2   CBET 247        03 01 17.54 -00 38 38.7   CBET  247        Ia    2005fb  Sloan Digital Sky Survey II
2005fa  Anon.            2005 09 10  01 39.6 -00 46             21.1   CBET 247        01 39 36.08 -00 45 31.5   CBET  247        Ia    2005fa  Sloan Digital Sky Survey II
2005ez  Anon.            2005 09 03  03 07.2 +01 07             21.4   CBET 247        03 07 10.97 +01 07 10.4   CBET  247        Ia?   2005ez  Sloan Digital Sky Survey II
2005ey  Anon.            2005 09 03  02 17.1 +00 17             20.9   CBET 247        02 17 05.50 +00 16 49.1   CBET  247        Ia    2005ey  Sloan Digital Sky Survey II
2005ex  Anon.            2005 09 03  01 41.9 -00 53             19.2   CBET 247        01 41 51.24 -00 52 35.0   CBET  247        Ia?   2005ex  Sloan Digital Sky Survey II
2005ew  Anon.            2005 10 04  03 39.4 +35 03             15.1   CBET 244        03 39 23.74 +35 02 49.0   IAUC 8651        Ia    2005ew  "Nearby Supernova Factory" collaboration
2005ev  UGC 1990         2005 10 03  02 31.1 +27 42             16.0   CBET 244        02 31 04.93 +27 42 06.5   IAUC 8651        Ia    2005ev  "Nearby Supernova Factory" collaboration
2005eu  Anon.            2005 10 04  02 27.7 +28 11    1W   1S  17.9   CBET 242        02 27 43.26 +28 10 36.6   IAUC 8611        Ia    2005eu  Lick Observatory Supernova Survey
2005et  UGC 2413         2005 09 23  02 56.5 +15 56   25E  75N  18.3   CBET 241        02 56 30.53 +15 56 12.8   IAUC 8610        Ia    2005et  Puckett, O'Connor
2005es  MCG +01-59-79    2005 09 30  23 25.8 +08 02    3W   8S  18.4   IAUC 8608       23 25 47.62 +08 02 17.3   IAUC 8608        II    2005es  Lick Observatory Supernova Survey
2005er  NGC 7385         2005 09 29  22 50.0 +11 37   91E  34N  18.7   IAUC 8608       22 50 00.84 +11 37 05.7   IAUC 8608        Ia-p  2005er  Lick Observatory Supernova Survey
2005eq  MCG -01-9-6      2005 09 30  03 08.8 -07 02   16E  26N  17.4   IAUC 8608       03 08 49.31 -07 01 59.7   IAUC 8608        Ia-p  2005eq  Lick Observatory Supernova Survey
2005ep  UGC 10626        2005 09 30  16 56.6 +58 02    3E  13S  18.0   CBET 238        16 56 35.49 +58 01 30.2   IAUC 8607        IIn   2005ep  Puckett, Peoples
2005eo  UGC 4132         2005 09 27  07 59.2 +32 55   11E  26N  18.3   IAUC 8605       07 59 13.94 +32 55 19.7   IAUC 8605        Ic    2005eo  Puckett, Peoples; Lick Observatory Supernova Survey; Berlind
2005en  UGC 4132         2005 09 27  07 59.2 +32 55    6W   7N  17.5   CBET 236        07 59 12.61 +32 55 00.5   IAUC 8605        II    2005en  Puckett, Peoples; Lick Observatory Supernova Survey
2005em  IC 307           2005 09 27  03 13.8 -00 15   38E   8S  18.1   IAUC 8604       03 13 47.71 -00 14 37.0   IAUC 8604        IIb?  2005em  Lick Observatory Supernova Survey
2005el  NGC 1819         2005 09 25  05 11.8 +05 12   39E  23S  16.0   CBET 233        05 11 48.72 +05 11 39.4   CBET  233        Ia    2005el  Lick Observatory Supernova Survey
2005ek  UGC 2526         2005 09 24  03 05.8 +36 46   66E  60S  17.5   CBET 232        03 05 48.96 +36 46 10.6   CBET  232        Ic?   2005ek  Lick Observatory Supernova Survey
2005ej  Anon.            2005 09 23  18 53.6 +66 14   12E   3N  17.4   CBET 231        18 53 38.48 +66 13 59.3   CBET  231        Ia    2005ej  Boles
2005ei  Anon.            2005 09 09  21 56.8 +00 19             19.9   CBET 229        21 56 47.64 +00 19 03.0   CBET  229        Ia?   2005ei  Barentine, Frieman et al. (SDSS II)
2005eh  Anon.            2005 09 09  21 49.7 +00 39             21.7   CBET 229        21 49 44.40 +00 39 27.4   CBET  229        Ia    2005eh  Barentine, Frieman et al. (SDSS II)
2005eg  Anon.            2005 09 09  01 02.1 -00 53             20.8   CBET 229        01 02 08.50 -00 52 44.4   CBET  229        Ia    2005eg  Barentine, Frieman et al. (SDSS II)
2005ef  Anon.            2005 09 09  00 58.4 +00 41             19.6   CBET 229        00 58 22.87 +00 40 44.4   CBET  229        Ia    2005ef  Barentine, Frieman et al. (SDSS II)
2005ee  Anon.            2005 08 25  23 57.9 +32 38    3W   5N  16.0   CBET 229        23 57 55.88 +32 38 14.5   IAUC 8603        II    2005ee  Tyurina, Lipunov et al.
2005ed  Anon.            2005 09 09  00 02.8 +00 45             19.0   CBET 229        00 02 49.37 +00 45 04.3   CBET  229        Ia    2005ed  Barentine, Frieman et al. (SDSS II)
2005ec  NGC 1690         2005 09 16  04 54.3 +01 38    1W   2N  16.8   CBET 228        04 54 19.17 +01 38 27.6   CBET  228        Ia    2005ec  Lick Observatory Supernova Survey
2005eb  UGC 556          2005 09 07  00 54.8 +29 15    9E   2S  18.4   CBET 227        00 54 50.94 +29 14 46.8   CBET  227        ?     2005eb  Lick Observatory Supernova Survey
2005ea  MCG +10-16-61    2005 09 06  11 06.8 +57 41   14W       17.0   CBET 224        11 06 47.89 +57 41 07.5   CBET  224        ?     2005ea  Lane, Gray
2005dz  UGC 12717        2005 09 10  23 38.6 +05 26   24E  16N  18     CBET 222        23 38 38.33 +05 26 17.3   IAUC 8598        II    2005dz  Puckett, Pelloni; Lick Observatory Supernova Survey
2005dy  UGC 3042         2005 09 07  04 28.6 +70 21    5W   1S  19.0   CBET 221        04 28 38.72 +70 20 49.0   IAUC 8598        ?     2005dy  Sehgal, Newton, Puckett
2005dx  MCG -03-11-9     2005 09 09  04 04.5 -17 54   12W  11S  18.6   CBET 220        04 04 28.85 -17 54 27.5   IAUC 8598        II    2005dx  Lick Observatory Supernova Survey
2005dw  MCG -05-52-49    2005 08 30  22 13.5 -27 33    6E  11N  16.7   CBET 219        22 13 31.83 -27 33 19.6   IAUC 8598        II    2005dw  Lick Observatory Supernova Survey
2005dv  NGC 5283         2005 09 04  13 41.1 +67 40    8W       15.0   CBET 217        13 41 04.45 +67 40 20.3   IAUC 8598        Ia    2005dv  Dainese, Dimai
2005du  Anon.            2005 08 08  00 09.6 +12 45             19.7   CBET 214        00 09 34.7  +12 45 21.4   CBET  214        II    2005du  "Nearby Supernova Factory" collaboration
2005dt  MCG -03-59-6     2005 09 01  23 23.6 -19 00    3W  12N  18.5   CBET 213        23 23 38.32 -19 00 24.5   CBET  213        ?     2005dt  Lick Observatory Supernova Survey
2005ds  UGC 11064        2005 08 31  17 57.7 +27 50   14W  13N  18.7   CBET 210        17 57 39.89 +27 50 18.4   IAUC 8592        IIn   2005ds  Lick Observatory Supernova Survey
2005dr  UGC 3229         2005 08 29  05 02.3 +07 38   12W  12N  18.5   CBET 209        05 02 17.18 +07 38 21.4   IAUC 8592        ?     2005dr  Lick Observatory Supernova Survey
2005dq  UGC 12177        2005 08 30  22 44.8 +33 28    9E   0S  17.9   CBET 208        22 44 46.45 +33 27 37.6   IAUC 8592        ?     2005dq  Armstrong
2005dp  NGC 5630         2005 08 27  14 27.6 +41 15    1W  14S  16.0   IAUC 8591       14 27 36.62 +41 15 15.0   IAUC 8591        ?     2005dp  Itagaki
2005do  UGC 2495         2005 08 08  03 02.0 +41 35   70W  62S  17.4   CBET 206        03 02 00.42 +41 34 34.2   IAUC 8590        Ia    2005do  Lick Observatory Supernova Survey
2005dn  NGC 6861         2005 08 27  20 11.2 -48 17    0E   6S  15.0   IAUC 8589       20 11 11.73 -48 16 35.5   IAUC 8589        ?     2005dn  Colesanti, Jacques, Pimentel, Napoleao
2005dm  IC 219           2005 08 26  02 18.7 -06 54    7E   2N  17.6   CBET 203        02 18 39.25 -06 54 10.8   IAUC 8589        Ia-p  2005dm  Lick Observatory Supernova Survey
2005dl  NGC 2276         2005 08 25  07 27.5 +85 45   18E   1S  17.1   IAUC 8588       07 27 31.75 +85 45 15.0   IAUC 8588        II    2005dl  Dimai, Migliardi
2005dk  IC 4882          2005 08 21  19 40.4 -55 12    3E  16S  17.8   IAUC 8586       19 40 23.71 -55 12 05.1   IAUC 8586        ?     2005dk  Luckas, Trondal, Schwartz
2005dj  UGC 3545         2005 08 18  06 50.0 +61 37   20E  16S  16.6   CBET 201        06 49 58.41 +61 37 08.5   IAUC 8585        ?     2005dj  Boles
2005di  MCG -04-52-46    2005 08 12  22 25.5 -24 14   15W   9N  18.6   CBET 198        22 25 32.84 -24 14 20.1   CBET  198        Ia    2005di  Lick Observatory Supernova Survey
2005dh  MCG +04-37-55    2005 08 10  15 54.1 +23 08    6E  16N  17.1   CBET 196        15 54 03.32 +23 08 09.9   IAUC 8583        Ia    2005dh  Lick Observatory Supernova Survey
2005dg  ESO 420-3        2005 08 05  04 07.8 -29 51    7E   6N  16.6   IAUC 8581       04 07 46.25 -29 51 28.1   IAUC 8581        Ic    2005dg  Monard
2005df  NGC 1559         2005 08 04  04 17.6 -62 46   15E  40N  13.8   CBET 192        04 17 37.85 -62 46 09.5   IAUC 8580        Ia    2005df  Evans
2005de  UGC 11097        2005 08 02  18 02.4 +26 03   17W  33N  18.1   CBET 191        18 02 23.36 +26 03 07.7   IAUC 8580        Ia    2005de  Lick Observatory Supernova Survey; Puckett, Tigner
2005dd  UGC 2062         2005 08 01  02 34.6 +01 21   11E   2N  18.6   CBET 191        02 34 36.57 +01 20 53.2   IAUC 8580        II    2005dd  Lick Observatory Supernova Survey
2005dc  NGC 7107         2005 07 26  21 42.4 -44 47   41W  10N  15.7   CBET 187        21 42 22.66 -44 47 21.2   IAUC 8575        Ia    2005dc  Luckas, Trondal, Schwartz
2005db  NGC 214          2005 07 19  00 41.4 +25 30   16W   2S  17.3   CBET 182        00 41 26.79 +25 29 51.6   IAUC 8571        IIn   2005db  Monard
2005da  UGC 11301        2005 07 18  18 37.8 +17 33  108W  35N  16.9   IAUC 8570       18 37 46.89 +17 32 35.3   IAUC 8570        Ic?   2005da  Lick Observatory Supernova Survey
2005cz  NGC 4589         2005 07 17  12 37.5 +74 11   12E   6S  16.0   IAUC 8569       12 37 27.85 +74 11 24.5   IAUC 8569        Ib    2005cz  Itagaki
2005cy  UGC 11241        2005 07 15  18 26.8 +51 09    7W  10N  17.9   CBET 180        18 26 49.11 +51 08 30.4   IAUC 8569        ?     2005cy  Sehgal, Newton, Puckett
2005cx  IC 178           2005 07 16  01 58.9 +36 41         4N  15.5   CBET 179        01 58 54.79 +36 40 34.8   IAUC 8569        ?     2005cx  Dimai
2005cw  IC 1439          2005 07 11  22 16.7 -21 29    6W  20S  18.5   IAUC 8567       22 16 39.61 -21 29 28.7   CBET  181        II    2005cw  "Nearby Supernova Factory" collaboration; Chen et al.
2005cv  UGC 1359         2005 07 10  01 53.7 +29 56    4E   5N  17.6   IAUC 8563       01 53 42.56 +29 56 04.3   IAUC 8563        II    2005cv  Lick Observatory Supernova Survey
2005cu  NGC 6754         2005 07 10  19 11.4 -50 38   12W   3N  16.1   IAUC 8562       19 11 24.51 -50 38 28.8   IAUC 8562        II    2005cu  Monard
2005ct  NGC 207          2005 07 01  00 39.7 -14 14    3W   2S  17.3   IAUC 8557       00 39 40.50 -14 14 16.6   IAUC 8557        Ic?   2005ct  Lick Observatory Supernova Survey
2005cs  NGC 5194         2005 06 28  13 29.9 +47 10        67S  14     IAUC 8553       13 29 52.78 +47 10 35.7   IAUC 8553        II    2005cs  Kloehr
2005cr  Anon.            2005 06 24  12 22.3 +12 24    3E   1N  16.5   CBET 172        12 22 17.21 +12 23 49.3   IAUC 8552        Ia    2005cr  Quimby, MOndol, Castro
2005cq  Anon.            2005 05 13  09 52.0 -20 43             21.9   IAUC 8551       09 52 00.48 -20 43 26.5   IAUC 8551        Ia    2005cq  Riello, Valenti, Turatto, Benetti et al.
2005cp  UGC 12886        2005 06 21  23 59.5 +18 12    6E   2S  17.4   IAUC 8550       23 59 30.88 +18 12 09.6   IAUC 8550        IIn   2005cp  Lick Observatory Supernova Survey
2005co  IC 1496          2005 06 20  23 30.9 -02 56    1E  16S  17.3   CBET 171        23 30 53.58 -02 56 18.4   IAUC 8550        ?     2005co  Lick Observatory Supernova Survey
2005cn  NGC 5061         2005 06 19  13 18.0 -26 49   62W 103N  14.6   CBET 170        13 18 00.46 -26 48 33.1   IAUC 8549        Ia    2005cn  Colesanti, Jacques, Pimentel, Napoleao
2005cm  IC 5142          2005 06 20  21 55.3 -65 31   16W  13S  16.9   IAUC 8548       21 55 17.72 -65 30 48.3   IAUC 8548        ?     2005cm  Monard
2005cl  MCG -01-53-20    2005 06 12  21 02.0 -06 18   18W  13N  18.3   IAUC 8544       21 02 02.35 -06 17 35.7   IAUC 8544        IIn   2005cl  Lick Observatory Supernova Survey
2005ck  Anon.            2005 06 05  13 02.3 +28 21   58E  24S  18.7   IAUC 8542       13 02 18.72 +28 20 45.5   IAUC 8542        Ia    2005ck  Quimby et al.; Lick Observatory Supernova Survey
2005cj  ESO 114-14       2005 06 12  01 54.7 -62 07   26E  14S  17.9   IAUC 8541       01 54 43.94 -62 06 32.0   IAUC 8541        ?     2005cj  Monard
2005ci  NGC 5682         2005 06 10  14 34.7 +48 40    1W   6N  18.5   CBET 168        14 34 44.88 +48 40 19.8   IAUC 8541        II    2005ci  Lick Observatory Supernova Survey
2005ch  Anon.            2005 06 08  14 22.1 +02 00    3E   1N  15.8   CBET 166        14 22 06.77 +01 59 35.7   IAUC 8539        Ia    2005ch  Rykoff, ROTSE Collaboration
2005cg  Anon.            2005 06 02  21 10.8 +00 12    0W   1N  18.2   CBET 164        21 10 50.42 +00 12 07.4   IAUC 8537        Ia    2005cg  Rykoff, ROTSE Collaboration
2005cf  MCG -01-39-3     2005 05 28  15 21.5 -07 25   16W 123N  16.4   CBET 158        15 21 32.21 -07 24 47.5   IAUC 8534        Ia    2005cf  Lick Observatory Supernova Survey
2005ce  IC 5233          2005 05 28  22 36.5 +25 46    1E  12S  18.5   CBET 158        22 36 32.96 +25 45 35.0   IAUC 8534        Ib/c  2005ce  Lick Observatory Supernova Survey
2005cd  IC 651           2005 05 16  10 51.0 -02 09   13W  13N  17.4   CBET 155        10 50 57.60 -02 08 48.2   IAUC 8534        ?     2005cd  Chen, Hu, Taiwan Supernova Survey
2005cc  NGC 5383         2005 05 19  13 57.1 +41 51    1W   5S  17.7   CBET 154        13 57 04.85 +41 50 41.8   IAUC 8534        ?     2005cc  Puckett, Langoussis
2005cb  NGC 6753         2005 05 13  19 11.4 -57 02   16W  19N  15.6   IAUC 8530       19 11 21.95 -57 02 27.4   IAUC 8530        Ib/c  2005cb  Colesanti, Jacques, Pimentel, Napoleao
2005ca  Anon.            2005 05 12  13 32.6 +11 49             20.9   CBET 151        13 32 38.59 +11 48 33.2   IAUC 8530        Ia    2005ca  SubbaRao, SDSS
2005bz  UGC 11162        2005 04 29  18 13.0 +29 42    1E   4N  19.1   IAUC 8527       18 13 01.73 +29 41 51.5   IAUC 8527        ?     2005bz  Lick Observatory Supernova Survey
2005by  UGC 8701         2005 05 02  13 45.8 +22 06   18E  27N  18.8   CBET 149        13 45 46.91 +22 05 46.8   IAUC 8523        II    2005by  Lick Observatory Supernova Survey
2005bx  MCG +12-13-19    2005 04 27  13 50.4 +68 33    2W   2N  17.8   CBET 148        13 50 24.95 +68 33 19.4   IAUC 8521        ?     2005bx  Rich
2005bw  UGC 8539         2005 04 28  13 33.5 +33 02    9E   5S  17.0   CBET 147        13 33 29.73 +33 02 27.8   IAUC 8520        ?     2005bw  Puckett, Gagliano
2005bv  Anon.            2005 04 20  14 24.1 +26 18   11E   9S  16.5   CBET 146        14 24 07.44 +26 17 50.3   IAUC 8520        Ia    2005bv  Lipunov et al.
2005bu  Anon.            2005 04 21  07 22.3 +22 03    7E   4S  17.4   CBET 144        07 22 18.21 +22 02 39.2   IAUC 8519        Ia    2005bu  Lick Observatory Supernova Survey
2005bt  UGC 8205         2005 04 20  13 07.2 +58 08    4W   2N  18.0   IAUC 8518       13 07 13.07 +58 08 08.4   IAUC 8518        ?     2005bt  Trondal, Holvorcem, Schwartz
2005bs  Anon.            2005 04 19  20 10.2 -56 39    4W  15S  17.4   CBET 143        20 10 14.11 -56 38 43.6   IAUC 8517        Ia    2005bs  Monard
2005br  IC 5084          2005 03 28  21 09.2 -63 17   14W  15N  16.5   IAUC 8516       21 09 13.09 -63 17 05.6   IAUC 8516        Ib    2005br  Monard
2005bq  IC 4367          2005 04 17  14 05.6 -39 12    6E   7N  18.3   IAUC 8515       14 05 37.05 -39 12 04.4   IAUC 8515        Ic    2005bq  Monard
2005bp  UGC 10732        2005 04 17  17 09.7 +36 25    8E  14N  18.8   IAUC 8515       17 09 43.22 +36 25 08.1   IAUC 8515        ?     2005bp  Puckett, Pelloni
2005bo  NGC 4708         2005 04 17  12 49.7 -11 06    8W  13S  15.3   CBET 141        12 49 41.03 -11 05 47.3   IAUC 8514        Ia    2005bo  Puckett, Langoussis
2005bn  Anon.            2005 04 07  12 03.4 +35 20             19.5   IAUC 8513       12 03 23.91 +35 19 33.0   IAUC 8513        II    2005bn  SubbaRao, SDSS Collaboration
2005bm  Anon.            2005 04 03  15 20.8 +36 49             19.5   IAUC 8513       15 20 45.10 +36 48 42.5   IAUC 8513        Ia    2005bm  SubbaRao, SDSS Collaboration
2005bl  NGC 4070         2005 04 14  12 04.2 +20 24   13E  11S  18.8   IAUC 8512       12 04 12.26 +20 24 24.8   IAUC 8512        Ia    2005bl  Lick Observatory Supernova Survey; Puckett, Langoussis
2005bk  MCG +07-33-27    2005 04 02  16 02.3 +42 55    4E   6S  18.0   IAUC 8512       16 02 17.04 +42 54 55.3   IAUC 8512        Ic    2005bk  Jansen, Tamura, Grogin
2005bj  MCG +03-43-5     2005 04 11  16 49.7 +17 52   12E   4S  17.7   CBET 137        16 49 44.74 +17 51 48.7   IAUC 8511        Ic?   2005bj  Boles
2005bi  MCG +07-34-36    2005 04 11  16 27.4 +39 07   10W   8N  18.5   CBET 137        16 27 21.27 +39 06 43.2   IAUC 8511        II    2005bi  Boles
2005bh  UGC 6495         2005 04 10  11 29.7 +22 08   17W   4N  17.3   IAUC 8509       11 29 44.00 +22 07 39.1   IAUC 8509        Ic    2005bh  Puckett, Cox
2005bg  MCG +03-31-93    2005 03 28  12 17.3 +16 22    0E   1N  16.2   CBET 133        12 17 17.18 +16 22 17.6   IAUC 8508        Ia    2005bg  Quimby et al.
2005bf  MCG +00-27-5     2005 04 05  10 23.9 -03 11   13E  32S  18.0   IAUC 8507       10 23 56.99 -03 11 29.3   IAUC 8507        Ic/b  2005bf  Monard; Lick Observatory Supernova Survey
2005be  Anon.            2005 04 05  14 59.5 +16 40    5W   5N  16.1   IAUC 8506       14 59 32.72 +16 40 11.6   IAUC 8506        Ia    2005be  Puckett, Orff
2005bd  MCG +09-11-2     2005 04 03  06 12.1 +51 52    1W  12N  17.7   IAUC 8505       06 12 03.50 +51 52 03.3   IAUC 8505        Ia    2005bd  Boles
2005bc  NGC 5698         2005 04 02  14 37.3 +38 27    5E   8N  16.6   IAUC 8504       14 37 15.05 +38 27 23.1   IAUC 8504        Ia    2005bc  Lick Observatory Supernova Survey; Puckett, Cox
2005bb  UGC 8067         2005 04 01  12 57.2 -01 42    4W   7N  19.8   IAUC 8504       12 57 11.87 -01 42 17.4   IAUC 8504        Ic    2005bb  Lick Observatory Supernova Survey
2005ba  NGC 3746         2005 04 01  11 37.7 +22 01   15W   4N  17.5   IAUC 8503       11 37 42.58 +22 00 38.9   IAUC 8503        II    2005ba  Kildahl, Danielsen, Steine
2005az  NGC 4961         2005 03 28  13 05.8 +27 44    8W   6N  17.4   CBET 130        13 05 46.97 +27 44 08.4   IAUC 8503        Ic    2005az  Quimby et al.
2005ay  NGC 3938         2005 03 27  11 52.8 +44 06   15W  56S  15.6   CBET 128        11 52 48.07 +44 06 18.4   IAUC 8500        II    2005ay  Rich
2005ax  NGC 1544         2005 03 26  05 02.6 +86 13    2E   2N  14.5   IAUC 8499       05 02 38.11 +86 13 22.2   IAUC 8499        ?     2005ax  Puckett, George
2005aw  IC 4837          2005 03 24  19 15.3 -54 08   13E  30S  15.3   CBET 127        19 15 17.44 -54 08 24.9   IAUC 8499        Ic    2005aw  Jacques, Pimentel
2005av  NGC 6943         2005 03 24  20 44.6 -68 45   22E  18S  15.4   CBET 126        20 44 37.58 -68 45 10.6   IAUC 8499        IIn   2005av  Monard
2005au  NGC 5056         2005 03 19  13 16.2 +30 57    1E  21S  15.8   CBET 125        13 16 12.42 +30 56 40.5   IAUC 8496        II    2005au  Arbour
2005at  NGC 6744         2005 03 15  19 09.9 -63 49   46E 117N  16.0   CBET 119        19 09 53.57 -63 49 22.8   IAUC 8496        Ic    2005at  Martin; Monard
2005as  NGC 3450         2005 01 21  10 48.1 -20 51         1N  17.1   IAUC 8493       10 48 03.52 -20 50 56.5   IAUC 8493        Ia    2005as  Lick Observatory Supernova Survey
2005ar  Anon.            2005 03 10  11 15.3 -03 46    5E   6N  17.7   CBET 117        11 15 19.03 -03 46 18.5   IAUC 8493        Ib    2005ar  Lick Observatory Supernova Survey
2005aq  NGC 1599         2005 03 07  04 31.6 -04 35    2E  11N  17.3   IAUC 8492       04 31 38.82 -04 35 06.8   IAUC 8492        IIn   2005aq  Lick Observatory Supernova Survey
2005ap  Anon.            2005 03 03  13 01.2 +27 44    4W   3N  18.5   CBET 116        13 01 14.84 +27 43 31.4   IAUC 8492        III?  2005ap  Quimby et al.
2005ao  NGC 6462         2005 03 07  17 44.8 +61 54    5E  11S  16.7   CBET 115        17 44 49.64 +61 54 28.1   IAUC 8492        Ia    2005ao  Puckett, Crowley
2005an  ESO 506-G11      2005 03 03  12 28.5 -24 38    0E  10N  17.3   CBET 113        12 28 27.35 -24 38 02.4   IAUC 8491        II?   2005an  Lick Observatory Supernova Survey
2005am  NGC 2811         2005 02 22  09 16.2 -16 18   18E  31N  17.5   IAUC 8490       09 16 12.47 -16 18 16.0   IAUC 8490        Ia    2005am  Martin
2005al  NGC 5304         2005 02 24  13 50.0 -30 35   15W   8N  15.1   IAUC 8488       13 50 00.33 -30 34 34.2   IAUC 8488        Ia    2005al  Jacques, Pimentel, Napoleao, Colesanti
2005ak  Anon.            2005 02 23  14 40.5 +03 31    2E   3N  15.7   CBET 110        14 40 32.06 +03 30 37.1   IAUC 8488        ?     2005ak  Puckett, Kerns
2005aj  UGC 2411         2005 02 18  02 58.8 +75 45    9E  52N  18     CBET 108        02 58 48.85 +75 45 13.8   IAUC 8488        Ic    2005aj  Puckett, Newton
2005ai  NGC 2314         2005 02 12  07 10.5 +75 21    1E 113N  15.9   IAUC 8486       07 10 32.76 +75 21 29.1   IAUC 8486        Ia    2005ai  Puckett, Orff
2005ah  Anon.            2005 02 10  06 00.8 -58 35   27W   8N  17.3   CBET 107        06 00 45.77 -58 35 20.8   IAUC 8486        Ia?   2005ah  Monard
2005ag  Anon.            2005 02 10  14 56.7 +09 20    6E   6N  18.2   IAUC 8484       14 56 43.65 +09 19 42.5   IAUC 8484        Ia    2005ag  Lick Observatory Supernova Survey
2005af  NGC 4945         2005 02 08  13 04.7 -49 34  407W 351S  12.8   IAUC 8482       13 04 44.06 -49 33 59.8   IAUC 8482        II    2005af  Jacques, Pimentel
2005ae  ESO 209-9        2005 02 01  07 58.3 -49 51   14E  14S  17.5   IAUC 8480       07 58 15.84 -49 51 19.9   IAUC 8480        IIb?  2005ae  Martin, Perth Supernova Survey
2005ad  NGC 941          2005 02 06  02 28.5 -01 08   23E  45N  17.4   IAUC 8479       02 28 29.45 -01 08 20.0   IAUC 8479        II    2005ad  Itagaki
2005ac  Anon.            2005 02 04  13 39.9 +00 52    2W   1S  18.0   IAUC 8478       13 39 55.82 +00 52 15.0   IAUC 8478        ?     2005ac  Lick Observatory Supernova Survey
2005ab  NGC 4617         2005 02 05  12 41.1 +50 23    7W  40S  16.7   IAUC 8478       12 41 05.18 +50 22 56.2   IAUC 8478        II    2005ab  Itagaki
2005aa  MCG +05-22-8     2005 02 01  09 08.1 +27 15   11W   1S  18.8   IAUC 8476       09 08 04.21 +27 14 59.4   IAUC 8476        ?     2005aa  Lick Observatory Supernova Survey
2005Z   NGC 3363         2005 01 31  10 45.2 +22 05    6W   4S  16.7   IAUC 8476       10 45 09.18 +22 04 38.3   IAUC 8476        II    2005Z   Trondal, Schwartz; Lick Observatory Supernova Survey
