Download  Object Name SN Type SNID Match  Filename  Observation Date  Phase (Peak | Discovery)  Instrument  Wavelength Range  S/N Ratio Observer | Reducer  Reference
SN 1993Z  Ia  Ia,Ia-99aa,Ia-norm  sn1993z-19930925-uohp.flm 19930925.0  None | 2  Kast  3200.0 - 9900.0 48.8019 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1993aa Ia  Ia,Ia-91bg,Ia-norm  sn1993aa-19930925-uoi.flm 19930925.0  None | 6  Kast  3200.0 - 10100.0  43.7968 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1993ab Ia  Ia,Ia-norm  sn1993ab-19931022-ui.flm  19931022.0  None | 28 Kast  3120.0 - 10470.0  3.20048 Alex Filippenko, Thomas Matheson | Aaron Barth  2012MNRAS.425.1789S
SN 1993ac Ia  Ia,Ia-norm  sn1993ac-19931022-uoi.flm 19931022.0  12.4 | 9  Kast  3120.0 - 10470.0  12.7669 Alex Filippenko, Thomas Matheson | Aaron Barth  2012MNRAS.425.1789S
SN 1993ac Ia  Ia,Ia-norm  sn1993ac-19931108-ui.flm  19931108.0  28.6 | 26 Kast  3220.0 - 10000.0  7.6733  Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1993ae Ia  Ia,Ia-99aa,Ia-norm  sn1993ae-19931117-uoi.flm 19931117.0  19.6 | 10 Kast  3120.0 - 10100.0  27.6622 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1993ae Ia  II,IIn,IIP  sn1993ae-19940107-uoi.flm 19940107.0  69.7 | 61 Kast  3300.0 - 10100.0  9.80049 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1993ai Ia  Ia,Ia-norm  sn1993ai-19940107-uoi.flm 19940107.0  None | 28 Kast  3350.0 - 9850.0 13.4725 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1993aj Ia? Ia,Ia-norm  sn1993aj-19940107-ui.flm  19940107.0  None | 11 Kast  3350.0 - 10300.0  15.9957 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1993aj Ia? Ia,Ia-norm  sn1993aj-19940119-ui.flm  19940119.0  None | 23 Kast  3500.0 - 9850.0 17.0649 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1993aj Ia? Ia,Ic,Ia-99aa,Ia-norm sn1993aj-19940205-opt.flm 19940205.0  None | 40 Kast  4270.0 - 7020.0 16.9742 Alex Filippenko | Aaron Barth 2012MNRAS.425.1789S
SN 1994B  Ia? Ia,Ia-norm  sn1994b-19940205-uoi.flm  19940205.0  None | 20 Kast  3140.0 - 10470.0  13.1766 Alex Filippenko | Aaron Barth 2012MNRAS.425.1789S
SN 1994B  Ia? Ia,Ia-norm  sn1994b-19940119-uoi.flm  19940119.0  None | 3  Kast  3250.0 - 9800.0 13.4325 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1994D  Ia  Ia,Ia-norm  sn1994d-19940310.flm  19940310.0  -11.0 | 3 None  3320.0 - 7580.0 73.0392 None | None 1997ASIC..486.....R
SN 1994D  Ia  Ia,Ia-norm  sn1994d-19940312.flm  19940312.0  -9.0 | 5  None  3320.0 - 7760.0 114.494 None | None 1997ASIC..486.....R
SN 1994D  Ia  Ia,Ia-norm  sn1994d-19940313.flm  19940313.0  -8.0 | 6  LRIS  3240.0 - 8800.0 135.225 Alex Filippenko, Thomas Matheson | Thomas Matheson  1997ASIC..486.....R
SN 1994D  Ia  Ia,Ia-norm  sn1994d-19940315.flm  19940315.0  -6.0 | 8  None  3240.0 - 7280.0 76.1178 None | None 1997ASIC..486.....R
SN 1994D  Ia  Ia,Ia-norm  sn1994d-19940316.flm  19940316.0  -5.0 | 9  None  3240.0 - 7280.0 75.9661 None | None 1997ASIC..486.....R
SN 1994D  Ia  Ia,Ia-norm  sn1994d-19940317.flm  19940317.0  -4.0 | 10 Kast  3120.0 - 9900.0 81.2194 Alex Filippenko, Thomas Matheson, Aaron Barth | Aaron Barth 1997ASIC..486.....R
SN 1994D  Ia  Ia,Ia-norm  sn1994d-19940318.flm  19940318.0  -3.0 | 11 Kast  3120.0 - 9900.0 86.5459 Alex Filippenko, Thomas Matheson, Aaron Barth | Aaron Barth 1997ASIC..486.....R
SN 1994D  Ia  Ia,Ia-99aa,Ia-norm  sn1994d-19940404.flm  19940404.0  14.0 | 28 Kast  3120.0 - 9900.0 80.1422 Alex Filippenko, Thomas Matheson, Aaron Barth | Aaron Barth 1997ASIC..486.....R
SN 1994D  Ia  Ia,Ia-norm  sn1994d-19940411.flm  19940411.0  21.0 | 35 None  3206.0 - 7384.0 74.1838 None | None 1997ASIC..486.....R
SN 1994D  Ia  Ia,Ia-norm  sn1994d-19940418.flm  19940418.0  28.0 | 42 Kast  3120.0 - 9900.0 58.5239 Alex Filippenko, Luis Ho | Aaron Barth  1997ASIC..486.....R
SN 1994D  Ia  Ia,Ia-norm  sn1994d-19940420.flm  19940420.0  30.0 | 44 None  3210.0 - 10200.0  51.0604 None | None 1997ASIC..486.....R
SN 1994D  Ia  Ia,Ia-norm  sn1994d-19940504.flm  19940504.0  43.9 | 58 None  3320.0 - 10380.0  55.5618 None | None 1997ASIC..486.....R
SN 1994D  Ia  Ia,Ia-norm  sn1994d-19940509.flm  19940509.0  48.9 | 63 None  3190.0 - 7320.0 53.001  None | None 1997ASIC..486.....R
SN 1994D  Ia  Ia,Ia-norm  sn1994d-19940510.flm  19940510.0  49.9 | 64 None  3190.0 - 7316.0 41.9348 None | None 1997ASIC..486.....R
SN 1994D  Ia  Ia,Ia-norm  sn1994d-19940512.flm  19940512.0  51.9 | 66 None  3140.0 - 6160.0 50.6981 None | None 1997ASIC..486.....R
SN 1994D  Ia  Ia,Ia-norm  sn1994d-19940514.flm  19940514.0  53.9 | 68 None  3140.0 - 6160.0 45.2407 None | None 1997ASIC..486.....R
SN 1994D  Ia  Ia,Ia-norm  sn1994d-19940603.flm  19940603.0  73.9 | 88 Kast  3282.0 - 10142.0  42.8709 Alex Filippenko, Thomas Matheson, Aaron Barth | Aaron Barth 1997ASIC..486.....R
SN 1994D  Ia  Ia,Ia-norm  sn1994d-19940616.flm  19940616.0  86.9 | 101  Kast  3170.0 - 10500.0  22.9201 Alex Filippenko, Thomas Matheson, Aaron Barth | Aaron Barth 1997ASIC..486.....R
SN 1994D  Ia  Ia,Ia-norm,Ia-pec sn1994d-19940714.flm  19940714.0  114.8 | 129 Kast  3210.0 - 10260.0  21.4125 Alex Filippenko | Aaron Barth 1997ASIC..486.....R
SN 1994D  Ia  Ia,Ia-norm  sn1994d-19940309.flm  19940309.0  -12.0 | 2 None  3196.0 - 7372.0 106.555 None | None 1997ASIC..486.....R
SN 1994E  Ia  Ia,Ia-91T,Ia-norm sn1994e-19940313-opt.flm  19940313.0  None | 8  LRIS  3940.0 - 8850.0 12.7018 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1994J  Ia  Ib,IIb  sn1994j-19940404-opt.flm  19940404.0  None | 30 Kast  4250.0 - 7020.0 7.81574 Alex Filippenko, Thomas Matheson, Aaron Barth | Aaron Barth 2012MNRAS.425.1789S
SN 1994Q  Ia  Ia,Ia-91T,Ia-norm sn1994q-19940804-ui.flm 19940804.0  69.9 | 63 Kast  3120.0 - 10360.0  15.7846 Alex Filippenko, Aaron Barth, Chien Peng | Aaron Barth  2012MNRAS.425.1789S
SN 1994Q  Ia  Ia,Ia-norm  sn1994q-19940603-uoh.flm  19940603.0  9.7 | 1 Kast  3120.0 - 8040.0 35.2643 Alex Filippenko, Thomas Matheson, Aaron Barth | Aaron Barth 2012MNRAS.425.1789S
SN 1994Q  Ia  Ia,Ia-99aa,Ia-norm  sn1994q-19940714-uoi.flm  19940714.0  49.5 | 42 Kast  3120.0 - 10400.0  22.7992 Alex Filippenko | Aaron Barth 2012MNRAS.425.1789S
SN 1994S  Ia  Ia,Ia-norm  sn1994s-19940616-uoi.flm  19940616.0  1.0 | 12  Kast  3120.0 - 11300.0  42.7213 Alex Filippenko, Thomas Matheson, Aaron Barth | Aaron Barth 2012MNRAS.425.1789S
SN 1994T  Ia  Ia,Ia-norm  sn1994t-19940715-ui.flm 19940715.0  32.9 | 34 Kast  3120.0 - 10400.0  2.14761 Alex Filippenko | Aaron Barth 2012MNRAS.425.1789S
SN 1994U  Ia  Ia,Ia-norm  sn1994u-19940713-uoi2.flm 19940713.0  None | 16 Kast  3120.0 - 11400.0  53.2975 Alex Filippenko | Aaron Barth 2012MNRAS.425.1789S
SN 1994X  Ia  Ia,Ia-norm  sn1994x-19940901-ui.flm 19940901.0  None | 17 Kast  3120.0 - 10400.0  2.38073 Alex Filippenko, Thomas Matheson, Aaron Barth | Aaron Barth 2012MNRAS.425.1789S
SN 1994ab Ia? Ia,Ia-norm  sn1994ab-19941011-o.flm 19941011.0  None | 24 Kast  4260.0 - 7000.0 7.80063 Alex Filippenko, Thomas Matheson | Douglas Leonard  2012MNRAS.425.1789S
SN 1994ae Ia  Ia,Ia-norm  sn1994ae-19950422-uoi.flm 19950422.0  144.4 | 159 Kast  3130.0 - 10550.0  9.88486 Alex Filippenko, Aaron Barth, D. Stevens | Douglas Leonard  2012MNRAS.425.1789S
SN 1994ae Ia  Ia,Ia-norm  sn1994ae-19950224-uoi2.flm  19950224.0  87.6 | 102  Kast  3120.0 - 11350.0  35.8336 Alex Filippenko, Aaron Barth | Aaron Barth  2012MNRAS.425.1789S
SN 1994ae Ia  Ia,Ia-pec sn1994ae-19950706-ui.flm  19950706.0  219.1 | 234 Kast  3592.0 - 10450.0  1.30177 Aaron Barth, Douglas Leonard | Douglas Leonard  2012MNRAS.425.1789S
SN 1995A  Ia  Ia,Ic,Ic-norm,Ia-norm sn1995a-19950224-opt-blo.flm  19950224.0  None | 53 Kast  4260.0 - 7030.0 11.7598 Alex Filippenko, Aaron Barth | Aaron Barth  2012MNRAS.425.1789S
SN 1995C  Ia  Ia,Ia-norm  sn1995c-19950224-opt.flm  19950224.0  None | 16 Kast  4260.0 - 7030.0 23.9846 Alex Filippenko, Aaron Barth | Aaron Barth  2012MNRAS.425.1789S
SN 1995D  Ia  Ia,Ia-norm  sn1995d-19950325-uoi2.flm 19950325.0  32.8 | 43 Kast  3140.0 - 11100.0  34.531  Alex Filippenko, Aaron Barth, Douglas Leonard | Douglas Leonard 2012MNRAS.425.1789S
SN 1995D  Ia  Ia,Ia-99aa,Ia-norm  sn1995d-19950422-uoi.flm  19950422.0  60.6 | 71 Kast  3296.0 - 10314.0  45.892  Alex Filippenko, Aaron Barth, D. Stevens | Douglas Leonard  2012MNRAS.425.1789S
SN 1995D  Ia  Ia,Ia-norm  sn1995d-19950224-uohp.flm 19950224.0  4.0 | 14  Kast  3120.0 - 9900.0 73.6705 Alex Filippenko, Aaron Barth | Aaron Barth  2012MNRAS.425.1789S
SN 1995D  Ia  Ia,Ia-99aa,Ia-norm  sn1995d-19950524-uoi.flm  19950524.0  92.4 | 103  Kast  3120.0 - 10450.0  18.4266 Alex Filippenko, Aaron Barth, Douglas Leonard | Douglas Leonard 2012MNRAS.425.1789S
SN 1995E  Ia  Ia,Ia-norm  sn1995e-19950422-ui.flm 19950422.0  54.4 | 61 Kast  3180.0 - 10550.0  7.67812 Alex Filippenko, Aaron Barth, D. Stevens | Douglas Leonard  2012MNRAS.425.1789S
SN 1995E  Ia  Ia,Ia-norm  sn1995e-19950224-uoi2.flm 19950224.0  -2.0 | 4  Kast  3120.0 - 11340.0  54.8421 Alex Filippenko, Aaron Barth | Aaron Barth  2012MNRAS.425.1789S
SN 1995L  Ia? Ia,Ia-norm  sn1995l-19950422-o.flm  19950422.0  None | 27 Kast  4300.0 - 7060.0 5.03864 Alex Filippenko, Aaron Barth, D. Stevens | Douglas Leonard  2012MNRAS.425.1789S
SN 1995T  Ia  Ia,Ic,Ia-91T,Ia-norm  sn1995t-19950801-uoh.flm  19950801.0  None | 7  Kast  3180.0 - 8040.0 20.3361 Alex Filippenko, Aaron Barth, Douglas Leonard | Douglas Leonard 2012MNRAS.425.1789S
SN 1995ac Ia-pec  Ia,Ia-91T sn1995ac-19950926-uoi.flm 19950926.0  -6.7 | 4  Kast  3200.0 - 10450.0  16.7469 Alex Filippenko, Douglas Leonard | Douglas Leonard  2012MNRAS.425.1789S
SN 1995ac Ia-pec  Ia,Ia-norm  sn1995ac-19951029-ui.flm  19951029.0  24.8 | 37 Kast  3340.0 - 10600.0  12.2582 H. E. Smith, A. Burgasser | Douglas Leonard 2012MNRAS.425.1789S
SN 1995ak Ia  Ia,Ia-norm  sn1995ak-19951126-opt.flm 19951126.0  24.4 | 30 LRIS  5101.0 - 10181.0  46.6899 Alex Filippenko, Saul Perlmutter, Hook, Aaron Barth | Matheson? 2012MNRAS.425.1789S
SN 1995al Ia  Ia,Ia-99aa,Ia-norm  sn1995al-19951217-uoi.flm 19951217.0  38.8 | 46 Kast  3180.0 - 10450.0  54.2313 Alex Filippenko, Douglas Leonard | Douglas Leonard  2012MNRAS.425.1789S
SN 1995al Ia  Ia,Ia-99aa,Ia-norm  sn1995al-19951130-uohp.flm  19951130.0  21.9 | 29 Kast  3160.0 - 9900.0 61.3793 Alex Filippenko, Thomas Matheson | Douglas Leonard  2012MNRAS.425.1789S
SN 1995ao Ia  Ia,Ia-norm  sn1995ao-19951128-opt-smo.flm 19951128.0  None | 10 LRIS  5101.0 - 10181.0  39.7351 Alex Filippenko, Saul Perlmutter, Hook, Aaron Barth | Aaron Barth 1998AJ....116.1009R
SN 1995ap Ia  Ia,Ic,Ia-norm,Ia-pec  sn1995ap-19951128-opt-smo.flm 19951128.0  None | 10 LRIS  5101.0 - 10181.0  25.43 Alex Filippenko, Saul Perlmutter, Hook, Aaron Barth | Aaron Barth 1998AJ....116.1009R
SN 1996O  Ia  Ia,Ia-norm  sn1996o-19960426-opt.flm  19960426.0  None | 36 LRIS  4835.0 - 9835.0 17.6794 Alex Filippenko, Aaron Barth, Saul Perlmutter, Hook | Aaron Barth 2012MNRAS.425.1789S
SN 1996P  Ia  Ia,Ia-91T,Ia-norm sn1996p-19960327-opt.flm  19960327.0  None | 2  Kast  4300.0 - 7000.0 16.2848 Alex Filippenko, Douglas Leonard | Ryan Chornock  2012MNRAS.425.1789S
SN 1996ai Ia  Ia,Ia-99aa,Ia-norm  sn1996ai-19960621-uo.flm  19960621.0  None | 5  Kast  3600.0 - 7600.0 19.8102 Nichole Vogt | Douglas Leonard  2012MNRAS.425.1789S
SN 1996ai Ia  Ia,Ia-99aa,Ia-norm  sn1996ai-19960810-uoi.flm 19960810.0  None | 55 Kast  3200.0 - 10400.0  25.8321 Alex Filippenko, Douglas Leonard, Wynn Ho | Douglas Leonard 2012MNRAS.425.1789S
SN 1996ai Ia  Ia,Ia-99aa,Ia-norm  sn1996ai-19960620-uo.flm  19960620.0  None | 4  Kast  3700.0 - 7600.0 21.2489 Nichole Vogt | Douglas Leonard  2012MNRAS.425.1789S
SN 1996ai Ia  Ia,Ia-norm  sn1996ai-19960622-uoi.flm 19960622.0  None | 6  Kast  3160.0 - 10450.0  57.9795 Alex Filippenko, Douglas Leonard, Jeffrey Newman | Douglas Leonard  2012MNRAS.425.1789S
SN 1996ai Ia  Ia,Ia-99aa,Ia-norm  sn1996ai-19960713-oh.flm  19960713.0  None | 27 LRIS  4960.0 - 9820.0 64.2725 Alex Filippenko, Thomas Matheson, Douglas Leonard, Schuyler VanDyk | Douglas Leonard  2012MNRAS.425.1789S
SN 1996bj | 96-37 Ia  Ia,Ia-norm  sn1996bj-19961010-o.flm 19961010.0  None | 1  LRIS  4820.0 - 9700.0 9.944 Alex Filippenko, Aaron Barth, Douglas Leonard, Chien Peng | Douglas Leonard 1997AJ....114..722R
SN 1996bj | 96-37 Ia  II,NotSN,Gal,IIn  sn1996bj-19961021-r.flm 19961021.0  None | 12 LRIS  5140.0 - 8910.0 47.6875 Alex Filippenko, Douglas Leonard, Schuyler VanDyk, Adam Riess | Douglas Leonard 1997AJ....114..722R
SN 1996bv Ia  Ia,Ia-91T,Ia-norm sn1996bv-19961207-opt.flm 19961207.0  19.7 | 34 Kast  4320.0 - 7040.0 9.52057 Alex Filippenko, Douglas Leonard, Wynn Ho | Ryan Chornock 2012MNRAS.425.1789S
SN 1997E  Ia  Ia,Ia-norm  sn1997e-19970209-uio.flm  19970209.0  19.7 | 26 Kast  3200.0 - 10500.0  42.6576 Alex Filippenko, Douglas Leonard, Andrea Gilbert, Wynn Ho | Douglas Leonard 2012MNRAS.425.1789S
SN 1997T  Ia  Ia,Ia-norm  sn1997t-19970209-opt.flm  19970209.0  None | 21 Kast  4370.0 - 7050.0 23.6538 Alex Filippenko, Douglas Leonard, Andrea Gilbert, Wynn Ho | Douglas Leonard 2012MNRAS.425.1789S
SN 1997Y  Ia  Ia,Ia-norm  sn1997y-19970209-uohp.flm 19970209.0  0.0 | 7 Kast  3200.0 - 9920.0 44.2219 Alex Filippenko, Douglas Leonard, Andrea Gilbert, Wynn Ho | Douglas Leonard 2012MNRAS.425.1789S
SN 1997bp Ia  Ia,Ia-norm  sn1997bp-19970416-uoi.flm 19970416.0  6.9 | 10  Kast  3160.0 - 10470.0  57.6967 Alex Filippenko, Aaron Barth, Andrea Gilbert | Douglas Leonard  2012MNRAS.425.1789S
SN 1997br Ia-pec  Ia,Ia-99aa,Ia-norm  sn1997br-19970710-opt.flm 19970710.0  80.4 | 91 Kast  4220.0 - 6960.0 21.8007 Alex Filippenko, Douglas Leonard | Douglas Leonard  1999AJ....117.2709L
SN 1997br Ia-pec  Ia,Ia-norm  sn1997br-19970710-ui.flm  19970710.0  80.4 | 91 Kast  3300.0 - 10500.0  11.422  Alex Filippenko, Douglas Leonard | Douglas Leonard  1999AJ....117.2709L
SN 1997br Ia-pec  Ia,Ia-91T sn1997br-19970416-uoi.flm 19970416.0  -4.0 | 6  Kast  3160.0 - 10470.0  76.775  Alex Filippenko, Aaron Barth, Andrea Gilbert | Douglas Leonard  1999AJ....117.2709L
SN 1997br Ia-pec  Ia,Ia-91T,Ia-norm sn1997br-19970606-uoi.flm 19970606.0  46.7 | 57 Kast  3160.0 - 10400.0  38.1616 Alex Filippenko, Douglas Leonard | Douglas Leonard  1999AJ....117.2709L
SN 1997br Ia-pec  Ia,Ia-99aa,Ia-norm  sn1997br-19970511-uo.flm  19970511.0  20.9 | 31 Kast  3140.0 - 6960.0 55.1104 Alex Filippenko, Douglas Leonard | Douglas Leonard  1999AJ....117.2709L
SN 1997cn Ia  Ia,Ia-91bg,Ia-norm  sn1997cn-19970606-uoi.flm 19970606.0  20.7 | 23 Kast  3160.0 - 10400.0  16.726  Alex Filippenko, Douglas Leonard | Douglas Leonard  2012MNRAS.425.1789S
SN 1997cw Ia  Ia,Ia-99aa,Ia-norm  sn1997cw-near-19970804-ui.flm 19970804.0  33.4 | 25 Kast  3280.0 - 10550.0  43.6613 Alex Filippenko, Douglas Leonard, Andrea Gilbert | Ryan Chornock  2012MNRAS.425.1789S
SN 1997cw Ia  Ia,Ia-norm  sn1997cw-19970906-ui.flm  19970906.0  65.8 | 58 Kast  3280.0 - 10450.0  14.6031 Alex Filippenko, Andrea Gilbert, Douglas Leonard | Ryan Chornock  2012MNRAS.425.1789S
SN 1997do Ia  Ia,Ia-norm  sn1997do-19971108-uoi.flm 19971108.0  -5.9 | 8  Kast  3270.0 - 10500.0  68.9282 Alex Filippenko, Douglas Leonard | Thomas Matheson  2012MNRAS.425.1789S
SN 1997do Ia  Ia,Ia-norm  sn1997do-19980128-ui.flm  19980128.0  74.2 | 89 Kast  3280.0 - 10200.0  46.1459 Alex Filippenko, Andrea Gilbert | Thomas Matheson 2012MNRAS.425.1789S
SN 1997ex Ia  NoMatch,NoMatch sn1997ex-19980305-r.flm 19980305.0  None | 67 LRIS  5180.0 - 8946.0 8.37264 Alex Filippenko, Ed Moran | Douglas Leonard 2005ApJ...626L..11F
SN 1997ex Ia  Ia,Ia-99aa,Ia-norm  sn1997ex-19980101-r.flm 19980101.0  None | 4  LRIS  4900.0 - 9860.0 7.28318 Perlmutter, Knop, Hook | Douglas Leonard  2005ApJ...626L..11F
SN 1997ex Ia  Ia,Ia-norm  sn1997ex-19980126-r.flm 19980126.0  None | 29 LRIS  5184.0 - 8958.0 12.5295 Alex Filippenko, Douglas Leonard, Adam Riess | Douglas Leonard  2005ApJ...626L..11F
SN 1997ex Ia  Ia,Ia-99aa,Ia-norm  sn1997ex-19980201-r2.flm  19980201.0  None | 35 LRIS  5696.0 - 9486.0 8.08835 Alex Filippenko, Douglas Leonard, Adam Riess | Douglas Leonard  2005ApJ...626L..11F
SN 1997fb Ia  Ia,Ia-norm  sn1997fb-19980117-o.flm 19980117.0  None | 17 LRIS  4340.0 - 6840.0 38.8114 Alex Filippenko, Thomas Matheson | Douglas Leonard  2012MNRAS.425.1789S
SN 1997fc Ia  Ia,Ia-99aa,Ia-norm  sn1997fc-19980117-o.flm 19980117.0  None | 17 LRIS  4340.0 - 6840.0 53.6949 Alex Filippenko, Thomas Matheson | Douglas Leonard  2012MNRAS.425.1789S
SN 1998V  Ia  Ia,Ia-norm  sn1998v-19980326-br.flm 19980326.0  5.9 | 16  LRIS  3850.0 - 9200.0 94.6005 Alex Filippenko, Douglas Leonard, Adam Riess | Thomas Matheson  2012MNRAS.425.1789S
SN 1998aq Ia  Ia,Ia-99aa,Ia-norm  sn1998aq-19980618-ui.flm  19980618.0  51.8 | 66 Kast  3300.0 - 10400.0  54.8261 Alex Filippenko, Douglas Leonard, Maryam Modjaz, Eastman | Thomas Matheson  2012MNRAS.425.1789S
SN 1998aq Ia  Ia,Ia-99aa,Ia-norm  sn1998aq-19980717-ui.flm  19980717.0  80.7 | 95 Kast  3350.0 - 10400.0  41.6018 Alex Filippenko, Aaron Barth | Thomas Matheson  2012MNRAS.425.1789S
SN 1998aq Ia  Ia,Ia-99aa,Ia-norm  sn1998aq-19980723-ui.flm  19980723.0  86.7 | 101  Kast  3280.0 - 10200.0  33.1545 Douglas Leonard, Andrea Gilbert | Thomas Matheson 2012MNRAS.425.1789S
SN 1998bn Ia  Ia,Ia-99aa,Ia-norm  sn1998bn-19980618-ui.flm  19980618.0  None | 62 Kast  3400.0 - 10400.0  44.3442 Alex Filippenko, Douglas Leonard, Maryam Modjaz, Eastman | Thomas Matheson  2012MNRAS.425.1789S
SN 1998bn Ia  Ia,Ia-norm  sn1998bn-19980522-r.flm 19980522.0  None | 35 Kast  5391.16 - 8170.84 61.4439 Michael Eracleous | Michael Eracleous 2012MNRAS.425.1789S
SN 1998bn Ia  Ib,IIb  sn1998bn-19980522-b.flm 19980522.0  None | 35 Kast  3195.9 - 5358.1 17.2982 Michael Eracleous | Michael Eracleous 2012MNRAS.425.1789S
SN 1998bp Ia  Ia,Ia-91bg,Ia-norm  sn1998bp-19980618-ui.flm  19980618.0  46.5 | 50 Kast  3300.0 - 10400.0  23.6598 Alex Filippenko, Douglas Leonard, Maryam Modjaz, Eastman | Thomas Matheson  2012MNRAS.425.1789S
SN 1998bp Ia  Ia,Ia-norm  sn1998bp-19980921-ui.flm  19980921.0  140.5 | 145 Kast  3300.0 - 10200.0  4.78743 Alex Filippenko, Douglas Leonard, Kirshner | Thomas Matheson  2012MNRAS.425.1789S
SN 1998bp Ia  NoMatch,NoMatch sn1998bp-19981015-ui.flm  19981015.0  164.3 | 169 Kast  3474.0 - 9776.0 1.30729 Alex Filippenko, Douglas Leonard | Thomas Matheson  2012MNRAS.425.1789S
SN 1998bp Ia  Ia,Ic,Ia-91bg,Ia-norm sn1998bp-19980522-r.flm 19980522.0  19.8 | 23 Kast  5391.16 - 8170.84 55.63 Michael Eracleous | Michael Eracleous 2012MNRAS.425.1789S
SN 1998bp Ia  Ia,Ib,Ib-norm,Ia-norm sn1998bp-19980522-b.flm 19980522.0  19.8 | 23 Kast  3195.9 - 5358.1 17.0631 Michael Eracleous | Michael Eracleous 2012MNRAS.425.1789S
SN 1998bu Ia  Ia,Ia-norm  sn1998bu-19980618-ui.flm  19980618.0  29.9 | 40 Kast  3400.0 - 10400.0  63.4488 Alex Filippenko, Douglas Leonard, Maryam Modjaz, Eastman | Thomas Matheson  2001ApJ...546..734L
SN 1998bu Ia  Ia,Ia-norm  sn1998bu-19990424-ui.flm  19990424.0  339.0 | 350 Kast  3300.0 - 10520.0  5.11356 Alex Filippenko, Weidong Li, Maryam Modjaz | Ryan Chornock  2012MNRAS.425.1789S
SN 1998bu Ia  Ia,Ia-norm  sn1998bu-19990223-ui.flm  19990223.0  279.2 | 290 Kast  3340.0 - 10550.0  15.31 Alex Filippenko, Weidong Li | Ryan Chornock 2012MNRAS.425.1789S
SN 1998bu Ia  Ia,Ia-99aa,Ia-norm  sn1998bu-19980717-ui.flm  19980717.0  58.8 | 69 Kast  3350.0 - 10400.0  45.5722 Alex Filippenko, Aaron Barth | Thomas Matheson  2012MNRAS.425.1789S
SN 1998bu Ia  Ia,Ia-norm  sn1998bu-19990110-ui.flm  19990110.0  235.3 | 246 Kast  3350.0 - 10300.0  24.028  Alex Filippenko, Thomas Matheson, Weidong Li | Weidong Li 2012MNRAS.425.1789S
SN 1998cd Ia  Ia,Ia-99aa,Ia-norm  sn1998cd-19980618-ui.flm  19980618.0  None | 32 Kast  3500.0 - 10400.0  35.9312 Alex Filippenko, Douglas Leonard, Maryam Modjaz, Eastman | Thomas Matheson  2012MNRAS.425.1789S
SN 1998cl Ia  Ia,Ia-norm  sn1998cl-19980618-ui.flm  19980618.0  None | 15 Kast  3400.0 - 10400.0  39.283  Alex Filippenko, Douglas Leonard, Maryam Modjaz, Eastman | Thomas Matheson  2012MNRAS.425.1789S
SN 1998cm Ia  Ic,Ia-91T,Ia-norm sn1998cm-19980618-ui.flm  19980618.0  None | 8  Kast  3800.0 - 10400.0  9.96843 Alex Filippenko, Douglas Leonard, Maryam Modjaz, Eastman | Thomas Matheson  2012MNRAS.425.1789S
SN 1998cs Ia  Ia,Ia-norm  sn1998cs-19980920-opt.flm 19980920.0  None | 83 Kast  4300.0 - 7050.0 21.9294 Alex Filippenko, Douglas Leonard, Kirshner | Thomas Matheson  2012MNRAS.425.1789S
SN 1998cs Ia  Ia,Ia-norm  sn1998cs-19980717-ui.flm  19980717.0  None | 18 Kast  3350.0 - 10400.0  58.2698 Alex Filippenko, Aaron Barth | Thomas Matheson  2012MNRAS.425.1789S
SN 1998cs Ia  Ia,Ia-norm  sn1998cs-19980723-ui.flm  19980723.0  None | 24 Kast  3280.0 - 10200.0  43.9115 Douglas Leonard, Andrea Gilbert | Thomas Matheson 2012MNRAS.425.1789S
SN 1998de Ia-pec  Ia,Ic,Ia-91bg,Ia-norm sn1998de-19980920-ui.flm  19980920.0  49.2 | 59 Kast  3300.0 - 10400.0  10.5926 Alex Filippenko, Douglas Leonard, Kirshner | Thomas Matheson  2001PASP..113..308M
SN 1998de Ia-pec  Ia,Ia-91bg,Ia-norm  sn1998de-19980831-ui.flm  19980831.0  29.5 | 39 Kast  3300.0 - 10200.0  19.5274 Alex Filippenko, Douglas Leonard, Thomas Matheson | Thomas Matheson 2001PASP..113..308M
SN 1998de Ia-pec  Ia,Ib,Ic-norm,Ia-norm sn1998de-19981015-ui.flm  19981015.0  73.8 | 84 Kast  3320.0 - 10200.0  5.11072 Alex Filippenko, Douglas Leonard | Thomas Matheson  2001PASP..113..308M
